,sum,related
1/22/20,547,3.907003321309954e-05
1/23/20,639,4.564122709903218e-05
1/24/20,916,6.542623477732938e-05
1/25/20,1399,9.992500267847577e-05
1/26/20,2062,0.0001472804542694904
1/27/20,2863,0.00020449269668940397
1/28/20,5494,0.0003924145566229778
1/29/20,6070,0.0004335559444305561
1/30/20,8124,0.0005802649905360523
1/31/20,9783,0.0006987607585443378
2/1/20,11871,0.0008478982893468091
2/2/20,16607,0.0011861719224313418
2/3/20,19693,0.0014065926216920825
2/4/20,23680,0.0016913681654226636
2/5/20,27409,0.0019577157958644334
2/6/20,30553,0.0021822792043141317
2/7/20,34075,0.002433841648512553
2/8/20,36778,0.0026269061819220742
2/9/20,39790,0.002842041355665869
2/10/20,42306,0.003021749223242027
2/11/20,44327,0.0031661012106710476
2/12/20,44699,0.0031926716902967753
2/13/20,59832,0.0042735616585121965
2/14/20,66292,0.004734973750937467
2/15/20,68347,0.004881754223063462
2/16/20,70446,0.005031677440091426
2/17/20,72364,0.005168672547409022
2/18/20,74139,0.005295453733795222
2/19/20,74546,0.005324524124138424
2/20/20,74999,0.005356880111424592
2/21/20,75472,0.005390664619120746
2/22/20,76922,0.005494232348844685
2/23/20,76938,0.005495375165172673
2/24/20,77152,0.005510660333559516
2/25/20,77660,0.005546944751973144
2/26/20,78065,0.005575872290275348
2/27/20,78498,0.005606799757151531
2/28/20,78824,0.005630084639834292
2/29/20,79251,0.0056605835505874795
3/1/20,79826,0.005701653512374559
3/2/20,80026,0.005715938716474412
3/3/20,80151,0.005724866969036821
3/4/20,80271,0.0057334380914967325
